raw,treatment,strain,tree,inner_1_panonychus,inner_1_bryobia,inner_1_tetranychus,inner_1_predatory,inner_2_panonychus,inner_2_bryobia,inner_2_tetranychus,inner_2_predatory,inner_3_panonychus,inner_3_bryobia,inner_3_tetranychus,inner_3_predatory,inner_4_panonychus,inner_4_bryobia,inner_4_tetranychus,inner_4_predatory,inner_5_panonychus,inner_5_bryobia,inner_5_tetranychus,inner_5_predatory,outer_1_panonychus,outer_1_bryobia,outer_1_tetranychus,outer_1_predatory,outer_2_panonychus,outer_2_bryobia,outer_2_tetranychus,outer_2_predatory,outer_3_panonychus,outer_3_bryobia,outer_3_tetranychus,outer_3_predatory,outer_4_panonychus,outer_4_bryobia,outer_4_tetranychus,outer_4_predatory,outer_5_panonychus,outer_5_bryobia,outer_5_tetranychus,outer_5_predatory,inner_1_pestEggs,inner_1_predatorEggs,inner_2_pestEggs,inner_2_predatorEggs,inner_3_pestEggs,inner_3_predatorEggs,inner_4_pestEggs,inner_4_predatorEggs,inner_5_pestEggs,inner_5_predatorEggs,outer_1_pestEggs,outer_1_predatorEggs,outer_2_pestEggs,outer_2_predatorEggs,outer_3_pestEggs,outer_3_predatorEggs,outer_4_predatorEggs,outer_4_pestEggs,outer_5_pestEggs,outer_5_predatorEggs
16,low,smith,16_15,1-5,0,1-5,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,10+,0,0,0,0,0,0,0
16,low,smith,16_15,1-5,0,1-5,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,10+,0,0,0,0,0,0,0
16,low,smith,16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,1-5,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,0,0,0,0,0,0
15,control,smith,15_35,10+,5-10,10+,0,1-5,0,0,0,0,0,0,0,0,0,5-10,0,1-5,1-5,1-5,0,5-10,0,1-5,0,10+,0,0,0,5-10,0,0,0,0,0,1-5,0,0,0,5-10,0,5-10,0,10+,1-5,5-10,0,0,0,5-10,0,5-10,0,5-10,0,5-10,0,0,1-5,1-5,0
15,control,smith,15_5,1-5,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,1-5,1-5,1-5,5-10,0,0,0,0,0,0,5-10,1-5,1-5,1-5,0,0,1-5,0,0,0,1-5,1-5,1-5,1-5,10+,0,5-10,0,0,0,5-10,0,0,0,5-10,1-5,0,0,5-10,0,0,1-5,1-5,0
15,control,smith,15_20,0,0,0,0,0,0,10+,0,0,0,5-10,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,0,1-5,1-5,0,0,0,0,0,0,1-5,0,0,0,1-5,0,5-10,0,5-10,0,5-10,0,0,0,5-10,0,1-5,0,1-5,0,0,1-5,0,0
15,control,smith,15_35,0,0,5-10,0,0,0,1-5,0,0,0,5-10,1-5,0,0,10+,0,1-5,1-5,0,0,10+,1-5,0,0,10+,1-5,10+,0,1-5,1-5,0,0,1-5,0,0,0,1-5,0,5-10,1-5,5-10,0,5-10,0,5-10,0,1-5,0,5-10,0,1-5,0,1-5,0,10+,5-10,0,1-5,5-10,0
15,control,smith,15_50,5-10,5-10,0,0,5-10,5-10,0,0,0,5-10,0,0,0,1-5,0,0,10+,0,10+,0,5-10,0,5-10,0,0,0,0,0,0,1-5,0,0,5-10,0,5-10,0,1-5,1-5,0,0,1-5,0,5-10,0,5-10,0,5-10,0,1-5,0,5-10,0,5-10,0,0,0,0,1-5,1-5,0
14,high,gala,14_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,1-5,0
14,high,gala,14_20,0,0,10+,0,0,1-5,0,0,0,0,0,0,1-5,0,5-10,0,5-10,0,1-5,1-5,0,0,10+,0,0,0,0,0,0,0,5-10,0,0,0,10+,0,0,0,10+,1-5,10+,0,10+,0,5-10,0,0,0,5-10,0,5-10,0,5-10,0,0,0,0,5-10,1-5,0
14,high,gala,14_36,0,0,10+,0,0,0,5-10,0,0,0,0,0,0,0,0,0,1-5,0,5-10,0,0,0,5-10,0,0,0,10+,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,0,0,1-5,1-5,1-5,0,5-10,0,0,0,0,0
14,high,gala,14_50,0,0,10+,0,0,0,0,0,0,0,5-10,0,0,0,5-10,0,1-5,0,1-5,0,0,0,10+,0,0,0,10+,1-5,0,0,5-10,0,0,0,1-5,0,0,0,10+,5-10,10+,0,10+,0,0,0,10+,0,10+,0,1-5,0,10+,0,10+,0,0,5-10,1-5,0
14,high,gala,14_66,0,0,0,0,0,0,1-5,1-5,0,0,5-10,0,0,0,0,0,1-5,0,1-5,0,1-5,0,5-10,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,5-10,0,5-10,1-5,0,0,1-5,0,5-10,0,5-10,0,0,0,1-5,0
14,high,gala,14_50,5-10,5-10,5-10,1-5,1-5,0,0,0,1-5,1-5,0,1-5,0,5-10,1-5,1-5,1-5,1-5,0,0,5-10,1-5,0,0,5-10,0,0,0,0,0,0,0,5-10,1-5,0,0,1-5,1-5,1-5,0,5-10,0,5-10,0,1-5,0,1-5,0,5-10,0,1-5,0,0,0,0,0,0,0,0,0
14,high,gala,14_20,10+,0,10+,0,10+,0,10+,0,10+,0,0,0,0,0,10+,0,10+,1-5,5-10,0,1-5,1-5,1-5,0,1-5,1-5,1-5,0,1-5,0,1-5,0,1-5,0,1-5,1-5,1-5,0,0,0,1-5,0,10+,0,10+,0,1-5,0,10+,0,5-10,0,1-5,0,1-5,0,0,1-5,1-5,0
14,high,gala,14_5,1-5,1-5,0,0,0,0,0,5-10,1-5,0,0,0,0,1-5,0,0,5-10,0,0,0,0,0,0,0,1-5,0,1-5,0,1-5,0,1-5,1-5,1-5,0,0,0,1-5,1-5,0,0,1-5,0,1-5,0,10+,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,1-5,0,0
13,control,pink,13_2,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,control,pink,13_15,0,1-5,10+,0,0,1-5,1-5,0,0,1-5,0,0,0,1-5,1-5,0,1-5,0,0,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,0,1-5,0,10+,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,1-5,1-5,0
13,control,pink,13_11,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0
13,control,pink,13_50,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,5-10,0,5-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,control,pink,13_65,1-5,0,0,0,1-5,0,0,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,0,0,1-5,0,0,0,5-10,0,0,0,0,0,0,0,0,0,0,0
12,high,pink,12_65,0,0,0,0,1-5,0,0,0,1-5,1-5,0,0,0,0,0,0,1-5,0,0,0,0,0,1-5,1-5,0,0,5-10,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,5-10,0,1-5,0,1-5,0,0,0,1-5,0,0,0,5-10,0,0,0,0,0
12,high,pink,12_50,0,0,0,0,1-5,0,10+,5-10,1-5,1-5,1-5,0,1-5,0,5-10,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,10+,0,10+,0,5-10,0,1-5,0,0,0,0,0,0,0,0,0
12,high,pink,12_35,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,0,0,1-5,1-5,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,5-10,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0
12,high,pink,12_15,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,1-5,1-5,1-5,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,10+,1-5,10+,0,0,0,0,0,0,0,5-10,0,1-5,0,0,0,0,0,0,0,1-5,0
12,high,pink,12_2,0,5-10,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,low,gala,11_67,0,0,10+,0,1-5,0,1-5,0,0,1-5,0,0,0,0,5-10,0,5-10,0,5-10,0,10+,1-5,1-5,0,1-5,0,5-10,0,1-5,0,1-5,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,10+,0,0,0,0,0,0,0,5-10,0,5-10,0,5-10,0,0,0,1-5,0
11,low,gala,11_45,0,0,1-5,1-5,0,1-5,1-5,0,0,0,10+,0,0,0,1-5,0,1-5,0,0,0,0,1-5,0,0,1-5,0,5-10,0,0,0,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,10+,0,0,0,0,0,0,0,0,0,0,0,0,0
11,low,gala,11_35,0,1-5,1-5,1-5,0,0,10+,0,0,0,5-10,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,5-10,0,0,0,0,0,0,0,10+,0,10+,0,0,0,10+,0,0,0,0,0,10+,0,10+,0,10+,0,0,10+,0,0
11,low,gala,11_15,0,0,10+,0,1-5,0,5-10,0,0,0,1-5,0,0,0,0,0,1-5,1-5,0,0,1-5,1-5,0,0,1-5,1-5,0,0,0,0,5-10,0,0,0,1-5,0,0,0,10+,0,10+,0,10+,0,0,0,0,0,0,0,1-5,0,1-5,0,1-5,0,0,0,0,0
11,low,gala,11_2,0,0,5-10,0,1-5,0,1-5,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-10,0,5-10,0,5-10,0,5-10,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0
10,high,gold,10_3,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,1-5,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,high,gold,10_15,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,high,gold,10_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,10+,0,10+,0,0,0,0,0,0,0
10,high,gold,10_45,0,0,1-5,1-5,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,10+,0,0,0,10+,0,0,0,1-5,0,0,0,1-5,1-5,0,0,0,0,0,0,1-5,1-5,0,0,0,0,0,0,0,0,0,0,10+,0,10+,0,0,0,0,0,0,0
10,high,gold,10_60,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,0,0,1-5,1-5,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0
9,low,gold,9_7,0,0,5-10,0,0,1-5,0,0,0,0,1-5,0,0,0,1-5,0,5-10,0,0,0,0,0,10+,0,1-5,0,0,1-5,0,0,5-10,0,0,0,1-5,0,0,1-5,0,0,0,0,10+,0,1-5,0,0,0,1-5,0,0,0,10+,0,5-10,0,0,5-10,0,5-10
9,low,gold,9_21,0,1-5,0,0,1-5,0,0,1-5,0,1-5,0,0,0,0,5-10,0,1-5,0,0,0,0,0,10+,1-5,1-5,0,5-10,0,1-5,0,0,0,1-5,0,1-5,0,1-5,1-5,1-5,0,5-10,0,1-5,0,1-5,0,0,0,5-10,0,0,0,10+,0,10+,0,0,5-10,10+,0
9,low,gold,9_35,0,0,10+,0,0,0,10+,0,0,0,10+,0,0,0,5-10,0,5-10,0,0,0,1-5,0,10+,0,1-5,0,5-10,0,1-5,0,5-10,0,1-5,0,0,0,0,0,10+,0,10+,0,10+,0,10+,0,10+,0,5-10,0,0,0,10+,0,5-10,0,0,10+,5-10,0
9,low,gold,9_50,0,0,10+,0,0,0,10+,0,0,0,5-10,0,0,0,5-10,1-5,1-5,1-5,0,0,5-10,0,0,0,1-5,0,0,0,5-10,0,5-10,0,5-10,0,5-10,0,0,0,10+,0,10+,0,10+,0,5-10,0,10+,0,10+,0,5-10,0,5-10,0,5-10,0,0,5-10,5-10,0
9,low,gold,9_64,0,0,5-10,0,0,0,1-5,1-5,5-10,1-5,0,1-5,5-10,0,1-5,1-5,1-5,0,0,0,0,0,1-5,0,0,0,1-5,0,1-5,0,0,0,0,0,0,0,0,1-5,0,0,0,0,5-10,0,1-5,0,5-10,0,5-10,0,1-5,0,10+,0,1-5,0,0,1-5,0,0
8,control,smith,8_49,10+,0,0,1-5,0,0,10+,1-5,5-10,0,5-10,1-5,10+,0,5-10,1-5,10+,0,10+,1-5,10+,0,5-10,0,10+,0,0,0,10+,1-5,0,0,10+,0,0,1-5,1-5,0,0,0,5-10,0,5-10,0,10+,0,10+,0,10+,0,10+,1-5,10+,0,10+,0,0,10+,10+,1-5
8,control,smith,8_42,10+,0,1-5,1-5,1-5,0,1-5,0,10+,0,1-5,0,5-10,0,1-5,0,10+,1-5,0,0,10+,0,0,0,10+,0,10+,0,10+,0,10+,0,5-10,0,0,0,1-5,0,1-5,0,1-5,0,5-10,0,5-10,0,5-10,0,5-10,0,10+,0,10+,0,10+,0,0,10+,10+,0
8,control,smith,8_36,5-10,0,1-5,0,1-5,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,10+,0,0,0,10+,0,0,0,5-10,0,0,0,10+,1-5,0,0,5-10,0,0,0,5-10,0,1-5,0,10+,0,10+,0,0,0,0,0,1-5,0,10+,0,10+,0,10+,0,0,10+,5-10,0
8,control,smith,8_20,1-5,0,0,0,0,0,0,1-5,0,0,1-5,0,0,0,10+,0,1-5,0,0,0,1-5,0,0,0,1-5,1-5,0,0,1-5,0,0,0,1-5,0,0,0,0,0,1-5,1-5,10+,0,1-5,0,1-5,1-5,5-10,0,10+,0,1-5,0,0,0,0,0,0,10+,0,0
8,control,smith,8_5,0,0,0,0,0,0,10+,0,0,1-5,10+,0,0,0,10+,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,10+,0,10+,0,10+,0,0,0,0,0,10+,0,0,0,0,0
7,low,smith,7_check,1-5,0,0,0,5-10,0,0,1-5,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,10+,0,0,0,5-10,0,0,0,1-5,1-5,1-5,0,5-10,0,0,0,1-5,0,0,0,0,0,1-5,0,1-5,0,0,0,0,0,0,0,10+,0,5-10,0,0,0,10+,0
7,low,smith,7_30,0,1-5,1-5,0,0,1-5,1-5,0,1-5,0,0,0,0,0,0,0,10+,0,0,0,10+,0,0,0,5-10,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,10+,0,5-10,0,5-10,0,0,5-10,0,0
7,low,smith,7_10,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,1-5,1-5,0,0,10+,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,5-10,1-5,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,1-5,0,0
6,high,smith,6_2,0,10+,0,0,0,5-10,0,0,0,5-10,0,1-5,0,1-5,10+,1-5,0,1-5,0,0,0,1-5,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,5-10,10+,0,0,10+,0,1-5,0,5-10,0,5-10,0,10+,0,1-5,0,5-10,0,5-10,0,0,0,0,0
